//HSK 3.0 (2026)/HSK1
爱,ai4
计划,ji4 hua4
积极,ji1 ji2
积累,ji1 lei3
仅,jin3
精彩,jing1 cai3
警察,jing3 cha2
景点,jing3 dian3
经济,jing1 ji4
京剧,jing1 ju4
经历,jing1 li4
景区
竟然,jing4 ran2
景色,jing3 se4
尽管,jin3 guan3
经验,jing1 yan4
竞争,jing4 zheng1
镜子,jing4 zi5
今后,jin1 hou4
仅仅,jin3 jin3
进入,jin4 ru4
进行,jin4 xing2
紧张,jin3 zhang1
禁止,jin4 zhi3
既然,ji4 ran2
及时,ji2 shi2
即使,ji2 shi3
技术,ji4 shu4
究竟,jiu1 jing4
就是,jiu4 shi4
继续,ji4 xu4
记者,ji4 zhe3
聚,ju4
举,ju3
举办,ju3 ban4
聚餐
聚会,ju4 hui4
拒绝,ju4 jue2
距离,ju4 li2
举例,ju3 li4
举行,ju3 xing2
剧院,ju4 yuan4
开玩笑,kai1 wan2 xiao4
看法,kan4 fa3
烤,kao3
考虑,kao3 lu:4
考生
咳,ke2
克,ke4
棵,ke1
课程,ke4 cheng2
科技,ke1 ji4
肯定,ken3 ding4
客气,ke4 qi4
咳嗽,ke2 sou5
课堂,ke4 tang2
客厅,ke4 ting1
可惜,ke3 xi1
科学,ke1 xue2
空,kong4
空,kong1
恐怕,kong3 pa4
